,Unnamed: 0,raw_header,reuters_url,article_publish_date,processed_header,neg,neu,pos,compound
0,0,Fed Circuit denies Apple bid to move patent case out of West Texas,https://www.reuters.com/article/ip-patent-apple/fed-circuit-denies-apple-bid-to-move-patent-case-out-of-west-texas-idUSL1N2DT2UR,3 days ago,Fed Circuit denies Apple bid to move patent case out of West Texas,0.189,0.811,0.0,-0.4215
1,1,"Apple's App Store, Apple Pay targeted by EU antitrust regulators",https://www.reuters.com/article/us-eu-antitrust-apple/apples-app-store-apple-pay-targeted-by-eu-antitrust-regulators-idUSKBN23N1EP,3 days ago,"Apple's App Store, Apple Pay targeted by EU antitrust regulators",0.135,0.865,0.0,-0.1027
2,2,Breakingviews - Europe’s latest Apple bite is close to the core,https://www.reuters.com/article/us-apple-antitrust-breakingviews/breakingviews-europes-latest-apple-bite-is-close-to-the-core-idUSKBN23N2H4,3 days ago,Europe’s latest Apple bite is close to the core,0.0,1.0,0.0,0.0
3,3,Apple says disappointed with EU antitrust investigations,https://www.reuters.com/article/us-eu-antitrust-apple-complaint/apple-says-disappointed-with-eu-antitrust-investigations-idUSKBN23N1KH,3 days ago,Apple says disappointed with EU antitrust investigations,0.341,0.659,0.0,-0.4767
4,4,"EU antitrust regulators to investigate Apple's App Store, Apple Pay",https://www.reuters.com/article/eu-antitrust-apple/eu-antitrust-regulators-to-investigate-apples-app-store-apple-pay-idUSL1N2DT0GC,3 days ago,"EU antitrust regulators to investigate Apple's App Store, Apple Pay",0.135,0.865,0.0,-0.1027
5,5,Apple-backed study sheds light on physical sales through App Store,https://www.reuters.com/article/us-apple-tech/apple-backed-study-sheds-light-on-physical-sales-through-app-store-idUSKBN23M30F,4 days ago,Apple-backed study sheds light on physical sales through App Store,0.0,1.0,0.0,0.0
6,6,Japan aims to launch coronavirus contact tracking app next week,https://www.reuters.com/article/us-health-coronavirus-japan-tech/japan-aims-to-launch-coronavirus-contact-tracking-app-next-week-idUSKBN23J2A0,7 days ago,Japan aims to launch coronavirus contact tracking app next week,0.0,1.0,0.0,0.0
7,7,"Apple, YouTube unveil $100 million funds to support black causes amid U.S. protests",https://www.reuters.com/article/us-minneapolis-police-apple/apple-youtube-unveil-100-million-funds-to-support-black-causes-amid-u-s-protests-idUSKBN23I2UL,8 days ago,"Apple, YouTube unveil $100 million funds to support black causes amid U.S. protests",0.122,0.705,0.173,0.2023
8,8,Intel chip executive Jim Keller departs company,https://www.reuters.com/article/us-intel-tech/intel-chip-executive-jim-keller-departs-company-idUSKBN23I378,8 days ago,Intel chip executive Jim Keller departs company,0.0,1.0,0.0,0.0
9,9,Apple will increase spending with black-owned suppliers as part of $100 million racial justice effort,https://www.reuters.com/article/minneapolis-police-apple/apple-will-increase-spending-with-black-owned-suppliers-as-part-of-100-million-racial-justice-effort-idUSFWN2DO0Q3,8 days ago,Apple will increase spending with black-owned suppliers as part of $100 million racial justice effort,0.0,0.695,0.305,0.6908
10,10,Broadcom's revenue forecast disappoints on possible Apple iPhone delay,https://www.reuters.com/article/us-broadcom-results/broadcoms-revenue-forecast-disappoints-on-possible-apple-iphone-delay-idUSKBN23B379,15 days ago,Broadcom's revenue forecast disappoints on possible Apple iPhone delay,0.412,0.588,0.0,-0.5994
11,11,Ex-Apple engineers aim to help U.S. hardware makers troubleshoot from home,https://www.reuters.com/article/us-health-coronavirus-electronics/ex-apple-engineers-aim-to-help-u-s-hardware-makers-troubleshoot-from-home-idUSKBN23B226,15 days ago,Ex-Apple engineers aim to help U.S. hardware makers troubleshoot from home,0.0,0.667,0.333,0.5423
12,12,Judge in Apple shareholder class action hints lead counsel switch,https://www.reuters.com/article/us-otc-apple/judge-in-apple-shareholder-class-action-hints-lead-counsel-switch-idUSKBN23A38D,16 days ago,Judge in Apple shareholder class action hints lead counsel switch,0.0,1.0,0.0,0.0
13,13,"Apple must face U.S. shareholder lawsuit over CEO's iPhone, China comments",https://www.reuters.com/article/us-apple-lawsuit/apple-must-face-u-s-shareholder-lawsuit-over-ceos-iphone-china-comments-idUSKBN23A2CN,16 days ago,"Apple must face U.S. shareholder lawsuit over CEO's iPhone, China comments",0.16,0.84,0.0,-0.2263
14,14,"In rescue effort, Fed has broad stake in corporate America's fortunes",https://www.reuters.com/article/us-usa-fed-bonds/in-rescue-effort-fed-has-broad-stake-in-corporate-americas-fortunes-idUSKBN2352WE,21 days ago,"In rescue effort, Fed has broad stake in corporate America's fortunes",0.0,0.752,0.248,0.5106
15,15,"Apple secures deal for Scorsese's next film starring DiCaprio, De Niro: media",https://www.reuters.com/article/us-apple-entertainment-martin-scorsese/apple-secures-deal-for-scorseses-next-film-starring-dicaprio-de-niro-media-idUSKBN234082,23 days ago,"Apple secures deal for Scorsese's next film starring DiCaprio, De Niro: media",0.0,0.827,0.173,0.3182
16,16,"Apple to reopen about 100 U.S. stores, most with curbside pickup",https://www.reuters.com/article/us-health-coronavirus-apple/apple-to-reopen-about-100-u-s-stores-most-with-curbside-pickup-idUSKBN2322PZ,24 days ago,"Apple to reopen about 100 U.S. stores, most with curbside pickup",0.0,1.0,0.0,0.0
17,17,"Apple to reopen about 100 stores in U.S., most with curbside pickup",https://www.reuters.com/article/health-coronavirus-apple/apple-to-reopen-about-100-stores-in-u-s-most-with-curbside-pickup-idUSB8N2D102W,24 days ago,"Apple to reopen about 100 stores in U.S., most with curbside pickup",0.0,1.0,0.0,0.0
18,18,Softbank's Arm releases chip tech for high-end Android devices,https://www.reuters.com/article/us-arm-ltd-tech/softbanks-arm-releases-chip-tech-for-high-end-android-devices-idUSKBN2321V0,24 days ago,Softbank's Arm releases chip tech for high-end Android devices,0.0,1.0,0.0,0.0
19,19,Irish regulator questions Apple over recordings,https://www.reuters.com/article/us-apple-dataprotection/irish-regulator-questions-apple-over-recordings-idUSKBN22X2B0,a month ago,Irish regulator questions Apple over recordings,0.0,1.0,0.0,0.0
20,20,"In SoftBank slides, tofu, a goose and unicorns underpin sales pitch",https://www.reuters.com/article/us-softbank-group-slides/in-softbank-slides-tofu-a-goose-and-unicorns-underpin-sales-pitch-idUSKBN22X11T,a month ago,"In SoftBank slides, tofu, a goose and unicorns underpin sales pitch",0.0,1.0,0.0,0.0
21,21,Apple and Google still in talks with UK about COVID-19 app technology,https://www.reuters.com/article/us-health-coronavirus-apps-britain/apple-and-google-still-in-talks-with-uk-about-covid-19-app-technology-idUSKBN22W2QM,a month ago,Apple and Google still in talks with UK about COVID-19 app technology,0.0,1.0,0.0,0.0
22,22,"Apple-Google contact tracing tech draws interest in 23 countries, some hedge bets",https://www.reuters.com/article/us-health-coronavirus-apps-tracing/apple-google-contact-tracing-tech-draws-interest-in-23-countries-some-hedge-bets-idUSKBN22W2NW,a month ago,"Apple-Google contact tracing tech draws interest in 23 countries, some hedge bets",0.0,0.786,0.214,0.4588
23,23,"Japan's Sharp reports 37% profit drop, gives no forecasts",https://www.reuters.com/article/us-sharp-results/japans-sharp-reports-37-profit-drop-gives-no-forecasts-idUSKBN22V0OY,a month ago,"Japan's Sharp reports 37% profit drop, gives no forecasts",0.326,0.455,0.22,-0.1027
24,24,"Apple reopening 25 more U.S. stores, will soon top 100 worldwide",https://www.reuters.com/article/us-health-coronavirus-applestores/apple-reopening-25-more-u-s-stores-will-soon-top-100-worldwide-idUSKBN22T0VD,a month ago,"Apple reopening 25 more U.S. stores, will soon top 100 worldwide",0.0,0.847,0.153,0.2023
25,25,"Apple reopening 25 more U.S. stores, will soon top 100 worldwide",https://www.reuters.com/article/health-coronavirus-applestores/apple-reopening-25-more-u-s-stores-will-soon-top-100-worldwide-idUSL1N2CZ0BC,a month ago,"Apple reopening 25 more U.S. stores, will soon top 100 worldwide",0.0,0.847,0.153,0.2023
26,26,Pompeo says TSMC's $12 billion investment to increase U.S. economic independence from China,https://www.reuters.com/article/us-usa-semiconductors-tsmc-pompeo/pompeo-says-tsmcs-12-billion-investment-to-increase-u-s-economic-independence-from-china-idUSKBN22R0KG,a month ago,Pompeo says TSMC's $12 billion investment to increase U.S. economic independence from China,0.0,0.839,0.161,0.3182
27,27,MEDIA-Apple plans to return more staff to offices in break from rivals - Bloomberg News,https://www.reuters.com/article/media-apple-plans-to-return-more-staff-t/media-apple-plans-to-return-more-staff-to-offices-in-break-from-rivals-bloomberg-news-idUSL4N2CU4IR,a month ago,Apple plans to return more staff to offices in break from rivals - Bloomberg News,0.0,1.0,0.0,0.0
28,28,Apple to reopen some stores in United States next week,https://www.reuters.com/article/us-health-coronavirus-apple/apple-to-reopen-some-stores-in-united-states-next-week-idUSKBN22K2O1,a month ago,Apple to reopen some stores in United States next week,0.0,0.763,0.237,0.4215
